Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-19 11:20:01,ENTRY,NIFTY,NIFTY,,65,,,,23709.25,23700.0,23700.0,53.4,55.45,2.9,2.4,103.55,0.0,,Local Paper Trade (Simulated)
2026-05-19 11:48:03,EXIT,NIFTY,NIFTY,,65,,,,23760.1,23700.0,23700.0,79.1,25.0,2.85,1.2,100.05,227.5,ATM_DRIFT,Local Paper Trade Closed
2026-05-19 12:21:34,ENTRY,NIFTY,NIFTY,,65,,,,23747.45,23750.0,23750.0,38.65,42.35,1.75,2.35,76.9,0.0,,Local Paper Trade (Simulated)
2026-05-19 13:15:07,EXIT,NIFTY,NIFTY,,65,,,,23704.7,23750.0,23750.0,15.7,62.15,0.75,1.95,75.15,113.75,ATM_DRIFT,Local Paper Trade Closed
2026-05-19 13:15:10,ENTRY,SENSEX,SENSEX,,20,,,,75518.77,75500.0,75500.0,446.8,428.45,21.3,22.6,831.35,0.0,,Local Paper Trade (Simulated)
2026-05-20 09:16:36,EXIT,SENSEX,SENSEX,,20,,,,74602.61,75500.0,75500.0,111.0,1014.8,6.2,39.5,1080.1,-4975.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-20 09:19:04,ENTRY,SENSEX,SENSEX,,20,,,,74700.66,75000.0,74400.0,280.3,294.45,14.6,15.6,544.55,0.0,,Local Paper Trade (Simulated)
2026-05-20 13:20:37,EXIT,SENSEX,SENSEX,,20,,,,75082.46,75000.0,74400.0,385.65,139.5,14.5,9.75,500.9,873.0,MANUAL_EXIT,Local Paper Trade Closed
2026-05-20 13:21:04,ENTRY,SENSEX,SENSEX,,20,,,,75077.72,75400.0,74800.0,208.3,256.4,10.65,12.55,441.5,0.0,,Local Paper Trade (Simulated)
2026-05-20 15:05:53,EXIT,SENSEX,SENSEX,,20,,,,75248.73,75400.0,74800.0,244.65,148.3,5.2,6.6,381.15,1207.0,MANUAL_EXIT,Local Paper Trade Closed
